Whale ID,Start Time (UTC),State,Sonar before EOE?,MFAS RL,MFAS cSEL,Echosounder Present?,Impulsive Sounds Present?,Orca Sounds Present?,Duration (hours),Foraging Dive Duration (hours),N Non-foraging Dives,Longest Non-foraging Dive (hours),Surface Time (hours),Echolocation Clicking Duration (minutes),Maximum Dive Depth (km),Distance Traveled (km)
Zica-20191012-145101,2019-10-15T10:42:44Z,Variant,No,None,0,No,Yes,No,2.3,0.8,1,0.3,0.2,19.9,0.9,3.2
Zica-20191012-145101,2019-10-15T12:58:49Z,Variant,No,None,0,No,No,No,1.8,1,2,0.3,0.1,27.9,1.1,1.7
Zica-20191012-145101,2019-10-15T14:44:48Z,Variant,No,None,0,No,No,No,2.2,0.9,4,0.3,0.1,21.6,1.1,1.3
Zica-20191012-145101,2019-10-15T16:59:48Z,Typical,No,None,0,No,Yes,No,2.7,1.1,4,0.3,0.2,31.3,1.4,0.7
Zica-20191012-145101,2019-10-15T19:44:07Z,Typical,No,None,0,No,No,No,2.9,1.1,5,0.4,0.3,27.4,1.3,1.6
Zica-20191012-145101,2019-10-15T22:37:12Z,Variant,No,None,0,No,Yes,No,6.2,1.1,10,0.5,0.9,31.3,1.4,0.5
Zica-20191012-145101,2019-10-16T04:50:03Z,Typical,No,None,0,No,Yes,No,3.8,1.2,6,0.4,0.2,33,1.3,0.7
Zica-20191012-145101,2019-10-16T08:38:23Z,Typical,No,None,0,No,Yes,No,2.8,1.1,4,0.4,0.2,27.5,1.1,1
Zica-20191012-145101,2019-10-16T11:27:21Z,Typical,No,None,0,No,Yes,No,2.9,1,6,0.4,0.2,28.6,1.3,1
Zica-20191012-145101,2019-10-16T14:22:29Z,Typical,No,None,0,No,No,No,3.5,1.1,6,0.5,0.2,27.3,1.2,1.5
Zica-20191012-145101,2019-10-16T17:50:04Z,Typical,No,140.1,148.8,No,No,No,4.1,1.2,7,0.5,0.2,34.8,1.3,1.1
Zica-20191012-145101,2019-10-16T21:53:49Z,Typical,No,None,0,No,Yes,No,2.1,1.1,4,0.3,0.1,25,1.5,0.6
Zica-20191012-145101,2019-10-16T23:59:45Z,Typical,No,None,0,No,Yes,No,2.9,1.3,4,0.3,0.3,36,1.5,1.1
Zica-20191012-145101,2019-10-17T02:54:01Z,Typical,No,None,0,No,Yes,No,3,1.1,4,0.5,0.2,34.4,1.5,0.5
Zica-20191012-145101,2019-10-17T05:53:16Z,Typical,No,None,0,No,Yes,No,3,1.1,4,0.4,0.3,36,1.4,0.9
Zica-20191012-145101,2019-10-17T08:55:31Z,Variant,Yes,107.4,122.2,No,No,No,3.5,1.1,2,0.3,1.6,29.6,1.4,5.7
Zica-20191012-145101,2019-10-17T12:26:56Z,Variant,No,None,0,No,No,No,1.9,0.9,3,0.4,0.2,21.7,1.1,2.3
Zica-20191012-145101,2019-10-17T14:21:53Z,Variant,No,None,0,No,No,No,2,0.9,3,0.3,0.2,18.6,1.2,1.5
